T1,T2,T0,flag,vref,theta,alpha,beta,a,b,c
1.4433756729740634e-05,2.8867513459481282e-05,6.698729810778084e-06,0,7.999999999999998,90.00000000000001,-1.1842378929335002e-15,7.999999999999998,0.0,6.9282032302755105,-6.928203230275507
1.4867868559611317e-05,2.8863116797358465e-05,6.269014643030221e-06,0,7.999999999999999,89.0,0.13961925149826843,7.998781561251129,0.1396192514982681,6.857338405616898,-6.996957657115167
1.529745149269046e-05,2.8849928150255875e-05,5.852620357053668e-06,0,7.999999999999999,88.0,0.2791959736200079,7.995126616152765,0.27919597362000775,6.784384769251408,-7.063580742871416
1.572237467385519e-05,2.882795153556319e-05,5.449673790581626e-06,0,7.999999999999999,87.0,0.41868764994355046,7.989036278036591,0.4186876499435506,6.709364543563392,-7.128052193506942
1.6142508667388205e-05,2.8797193647570136e-05,5.060297685041658e-06,0,7.999999999999998,86.0,0.5580517899530018,7.980512402078593,0.5580517899530024,6.632300580440334,-7.1903523703933345
1.655772549640514e-05,2.875766385542736e-05,4.684610648167507e-06,0,7.999999999999999,84.99999999999999,0.6972459419812665,7.9695575847339635,0.6972459419812654,6.553216354311933,-7.250462296293201
1.696789868183757e-05,2.8709374200292466e-05,4.3227271178699665e-06,0,7.999999999999998,84.0,0.8362277061412275,7.956175162946185,0.8362277061412278,6.47213595499958,-7.308363661140807
1.7372903280959794e-05,2.865233939166221e-05,3.974757327377994e-06,0,7.999999999999998,83.0,0.9749547472411795,7.940369213130575,0.9749547472411798,6.389084080378343,-7.364038827619521
1.7772615925447545e-05,2.8586576802891817e-05,3.640807271660644e-06,0,7.999999999999999,82.0,1.1133848076805228,7.922144549932562,1.1133848076805235,6.304086028853777,-7.4174708365342985
1.8166914858957205e-05,2.851210646590288e-05,3.3209786751399204e-06,0,8.0,81.00000000000001,1.2514757203218456,7.901506724761102,1.251475720321847,6.21716769165577,-7.468643411977613
1.8555679974213977e-05,2.842895106508144e-05,3.01536896070459e-06,0,8.0,80.0,1.3891854213354424,7.878462024097665,1.3891854213354426,6.128355544951826,-7.517540966287267
1.8938792849597696e-05,2.8337135930368147e-05,2.7240712200341592e-06,0,8.0,79.0,1.526471963012358,7.853017467581312,1.5264719630123584,6.037676641782177,-7.564148604794535
